"NomenCode","Reporter_ISO_N","ReporterName","ProductCode","Partner","PartnerName","Year","AdValorem","MeasureCode","MeasureName","NonAdValorem","Affected"
"H1","840","United States","02101100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.072/KG",
"H1","840","United States","02101200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.072/KG",
"H1","840","United States","02101900","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.072/KG",
"H1","840","United States","02102000","N21","",1999,30,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02109020","N21","",1999,20,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","02109040","N21","",1999,20,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03011000","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03019100","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03019200","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03019300","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03019900","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03021100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03021200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.044/KG",
"H1","840","United States","03021900","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03022100","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.044/KG",
"H1","840","United States","03022200","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03022300","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03022900","N21","",1999,,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","$0.022/KG",
"H1","840","United States","03023100","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03023200","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
"H1","840","United States","03023300","N21","",1999,0,3,"Non-MFN duty rate for countries excluded from Most-Favoured- Nation (MFN) treatement","",
